type,value,status
SHOULD,dcat:Catalog dct:publisher,used
SHOULD,dcat:Dataset dcat:distribution,used
SHOULD,dcat:DatasetSeries dct:publisher,used
SHOULD,dcat:DatasetSeries dct:spatial,used
SHOULD,dcat:DataService dcat:servesDataset,unused
SHOULD,dcat:Dataset dcat:contactPoint,unused
SHOULD,dcat:Dataset dcat:inSeries,unused
SHOULD,dcat:Dataset dcat:keyword,unused
SHOULD,dcat:Dataset dcat:theme,unused
SHOULD,dcat:Dataset dct:publisher,unused
SHOULD,dcat:Dataset dct:spatial,unused
SHOULD,dcat:Dataset dct:temporal,unused
SHOULD,dcat:Dataset dpv:hasData,unused
SHOULD,dcat:Distribution dct:description,unused
SHOULD,dcat:Distribution dct:format,unused
SHOULD,dcat:Distribution dct:license,unused
SHOULD,dct:LicenseDocument dct:type,unused
SHOULD,dct:PeriodOfTime dcat:endDate,unused
SHOULD,dct:PeriodOfTime dcat:startDate,unused
SHOULD,foaf:Agent dct:type,unused
